meritocracy	ginicnty	income_i	income_cnty	black_cnty	perc_bush04	pop_cnty	educ_i	age_i	gender_i	white	unemp_i	union_i	partyid_i	ideo_i	attend_i	fips	survid2006	survid2007	survid2009
0	0.39130428433418274	0.606155276298523	0.418268620967865	0.06877321749925613	0.5799999833106995	0.20805354416370392	0.8333333134651184	86	1	1	1	0	1	0.5	0.6000000238418579	6065	0	0	0
1	0.39130428433418274	0.5076940655708313	0.418268620967865	0.06877321749925613	0.5799999833106995	0.20805354416370392	0.3333333432674408	76	0	1	1	1	0	0.75	0.6000000238418579	6065	0	0	1
0	0.39130428433418274	0.40923288464546204	0.418268620967865	0.06877321749925613	0.5799999833106995	0.20805354416370392	0.8333333134651184	34	0	1	0	0	1	0.75	0.800000011920929	6065	1	0	0
1	0.39130428433418274	0.9015387892723083	0.418268620967865	0.06877321749925613	0.5799999833106995	0.20805354416370392	0.8333333134651184	29	1	1	0	0	1	0.5	0.6000000238418579	6065	0	1	0
0	0.39130428433418274	0.5076940655708313	0.418268620967865	0.06877321749925613	0.5799999833106995	0.20805354416370392	0.6666666865348816	27	1	0	0	0	0.25	0.5	0.800000011920929	6065	0	0	1
0	0.39130428433418274	0.7046164274215698	0.418268620967865	0.06877321749925613	0.5799999833106995	0.20805354416370392	0.6666666865348816	35	0	1	0	1	1	0.5	0.6000000238418579	6065	1	0	0
0	0.39130428433418274	0.8030776381492615	0.418268620967865	0.06877321749925613	0.5799999833106995	0.20805354416370392	0.8333333134651184	72	1	1	1	0	0.75	0.5	0.800000011920929	6065	0	1	0
0	0.39130428433418274	0.40923288464546204	0.418268620967865	0.06877321749925613	0.5799999833106995	0.20805354416370392	0.3333333432674408	38	1	0	0	0	0.5	1	0.6000000238418579	6065	1	0	0
0	0.39130428433418274	0.2123105227947235	0.418268620967865	0.06877321749925613	0.5799999833106995	0.20805354416370392	0.3333333432674408	62	1	1	1	0	1	0.5	1	6065	0	1	0
0	0.39130428433418274	0.40923288464546204	0.418268620967865	0.06877321749925613	0.5799999833106995	0.20805354416370392	0.3333333432674408	72	0	1	1	0	0.25	0.5	0.20000000298023224	6065	0	1	0
0	0.39130428433418274	0.40923288464546204	0.418268620967865	0.06877321749925613	0.5799999833106995	0.20805354416370392	1	82	1	1	1	0	1	0.75	0.800000011920929	6065	0	0	1
1	0.39130428433418274	0.8030776381492615	0.418268620967865	0.06877321749925613	0.5799999833106995	0.20805354416370392	0.6666666865348816	50	1	0	0	1	0.75	0.5	0.20000000298023224	6065	0	1	0
0	0.39130428433418274	0.9015387892723083	0.418268620967865	0.06877321749925613	0.5799999833106995	0.20805354416370392	0.3333333432674408	18	1	1	1	0	0.75	0.75	0.4000000059604645	6065	0	0	1
1	0.39130428433418274	0.5373000502586365	0.418268620967865	0.06877321749925613	0.5799999833106995	0.20805354416370392	0.6666666865348816	18	0	0	0	0	1	0.5	0.800000011920929	6065	1	0	0
